label,occurrences,file_count,types
GRADE,7,7,M:1|F:6
EXPLANATION,7,7,F:6|D:1
FORM TYPE,7,7,S:3|P:3|F:1
ROLE,7,7,S:1|F:3|P:3
RECEIPT #,7,7,F:2|P:5
CORRECTIVE ACTION,7,7,M:2|P:2|F:1|S:2
INVENTORY POINT,7,7,F:1|P:6
SUPERVISOR,7,6,P:6|S:1
RISK FACTOR,7,7,P:6|F:1
SORT BY,6,6,F:3|S:3
CPU,6,5,F:5|M:1
USER NAME,6,6,C:1|P:4|F:1
LAST NAME,6,6,F:5|C:1
SENDING APPLICATION,6,6,P:4|F:2
PRIMARY DIAGNOSIS,6,6,P:5|F:1
"DEA, SPECIAL HDLG",6,6,F:2|S:4
PRICE PER DISPENSE UNIT,6,6,N:5|P:1
QUESTION,6,6,A:2|P:2|F:1|7:1
PATIENT LOCATION,6,6,P:4|F:1|V:1
PATIENT SSN,6,6,F:4|C:2
PRESCRIPTION NUMBER,6,6,P:5|M:1
PERSON,6,6,P:5|V:1
INTERVENTION,6,6,P:5|S:1
PURCHASE ORDER NUMBER,6,6,P:2|F:4
ACTIVITY,6,6,D:3|S:1|F:1|N:1
HL7 CODE,6,6,F:5|S:1
PROGRAM,6,6,F:3|S:2|P:1
LRDFN,6,6,F:1|N:4|P:1
LAB TEST,6,6,P:5|M:1
DATE ORDERED,6,6,D:5|F:1
RESULTS,6,6,M:1|6:1|P:1|S:3
AREA,6,6,F:1|P:5
IMAGING LOCATION,6,6,P:4|C:1|F:1
MODIFIER,6,6,F:2|A:1|S:2|P:1
ADMISSION,6,6,P:5|D:1
TYPE OF EVENT,6,6,S:5|P:1
ITEMS,6,6,A:2|P:2|V:1|M:1
PARAMETERS,6,6,M:4|F:1|A:1
ORIENTATION,6,6,F:1|S:5
SIZE,6,6,F:4|S:1|P:1
SURGICAL SPECIALTY,6,6,P:5|F:1
REASON CODE,6,6,P:1|F:2|N:1|S:2
CANCELLATION REASON,6,6,F:1|P:4|S:1
NOTE,6,6,M:4|P:1|F:1
DEBTOR,6,6,V:1|P:4|F:1
AUDIT,6,6,D:4|P:2
TRANSACTION,6,6,A:2|D:1|P:2|F:1
CHECKSUM,6,6,N:4|F:2
BATCH TYPE,6,6,S:2|P:4
EVENT DATE,6,6,D:5|F:1
KEY,6,6,F:3|P:2|M:1
CLAIM,6,6,P:5|D:1
PLAN,6,6,P:2|M:4
TRACKING ID,6,6,P:2|F:4
FORM,6,6,P:5|F:1
DATA ELEMENT,6,6,P:4|M:1|7:1
COUNTY CODE,6,6,F:4|N:2
REQUEST DATE,6,6,M:1|D:5
SYSTEM IDENTIFIER,6,6,S:3|F:3
PAY PERIOD,6,6,F:4|P:1|M:1
CPT,6,6,P:5|A:1
PLACEHOLD MEANS TEST,6,6,S:4|F:2
EXPRESSION,6,6,P:4|N:1|F:1
STUDY UID,6,6,F:5|M:1
MACHINE ID,6,6,F:5|N:1
FIELD NAME,5,5,C:1|A:1|F:3
COUNTRY,5,5,P:4|M:1
ROOM-BED,5,5,F:3|P:2
EMPLOYMENT STATUS,5,5,S:4|C:1
ALIAS,5,5,M:2|C:1|F:2
FACILITY TYPE,5,5,P:3|S:1|F:1
AGENCY CODE,5,5,S:3|F:2
ASSIGNING AUTHORITY,5,5,F:3|S:2
MESSAGES,5,5,N:1|M:1|D:1|P:2
DIRECTION,5,5,S:4|F:1
STATUS CODE,5,5,F:4|S:1
BOX-VOLUME PAIR,5,5,F:2|P:3
TO,5,5,F:4|P:1
OPTION,5,5,P:1|F:4
HELP TEXT,5,5,M:3|F:2
LINE NUMBER,5,5,M:1|N:2|F:2
CENSUS DATE,5,5,D:3|P:2
ADMITTING DIAGNOSIS,5,5,F:3|P:2
SURGERY,5,5,S:3|P:1|M:1
SPECIAL INSTRUCTIONS,5,5,A:1|F:1|M:3
DRG,5,5,C:1|P:4
DISCHARGE STATUS,5,5,S:4|P:1
UNIT,5,5,P:1|F:3|N:1
NARRATIVE,5,5,M:1|F:4
TYPE OF REQUEST,5,5,F:2|S:2|P:1
COMPLETION STATUS,5,5,P:1|F:2|S:2
ACCESSION AREA,5,5,P:4|F:1
TIME ASPECT,5,5,P:4|F:1
WKLD CODE,5,5,P:3|F:2
EVENT CODE,5,5,P:2|F:2|S:1
DFN,5,5,N:2|P:3
ATTRIBUTE,5,5,F:1|A:2|P:2
STREET ADDRESS 3,5,5,F:3|C:2
REPORT STATUS,5,5,S:4|F:1
REQUESTING PHYSICIAN,5,5,C:1|P:2|F:2
FINDINGS,5,5,F:2|P:1|V:2
INDICATION,5,5,F:2|P:2|M:1
STOP CODE,5,5,P:2|N:1|F:2
ACTION TYPE,5,5,F:1|P:2|S:2
TERM,5,5,F:3|P:1|S:1
LOT NUMBER,5,5,F:3|P:2
PROVIDER TYPE,5,5,S:3|F:2
TOTAL AMOUNT PAID,5,5,N:4|C:1
PROMPT PAY TYPE,5,5,S:4|F:1
INVOICE NUMBER,5,5,F:3|N:1|P:1
OTHER,5,5,M:1|F:3|S:1
DELETE REASON,5,5,F:3|P:1|S:1
PAYER NAME,5,5,F:4|P:1
SEQUENCE #,5,5,A:1|N:4
REMOTE DOMAIN,5,5,P:3|F:2
TRANSACTION STATUS,5,5,S:4|F:1
