rule,priority,label,file,file_label,field,field_label,package,occurrences,types,source_files,target_file,recommended_type
label_type_conflict,7,INVENTORY POINT,,,,,,7,F:1|P:6,,,P
label_type_conflict,7,SUPERVISOR,,,,,,7,P:6|S:1,,,P
label_type_conflict,7,RISK FACTOR,,,,,,7,P:6|F:1,,,P
label_type_conflict,6,SORT BY,,,,,,6,F:3|S:3,,,F
label_type_conflict,6,CPU,,,,,,6,F:5|M:1,,,F
label_type_conflict,6,USER NAME,,,,,,6,C:1|P:4|F:1,,,P
label_type_conflict,6,LAST NAME,,,,,,6,F:5|C:1,,,F
label_type_conflict,6,SENDING APPLICATION,,,,,,6,P:4|F:2,,,P
label_type_conflict,6,PRIMARY DIAGNOSIS,,,,,,6,P:5|F:1,,,P
label_type_conflict,6,"DEA, SPECIAL HDLG",,,,,,6,F:2|S:4,,,S
label_type_conflict,6,PRICE PER DISPENSE UNIT,,,,,,6,N:5|P:1,,,N
label_type_conflict,6,QUESTION,,,,,,6,A:2|P:2|F:1|7:1,,,A
label_type_conflict,6,PATIENT LOCATION,,,,,,6,P:4|F:1|V:1,,,P
label_type_conflict,6,PATIENT SSN,,,,,,6,F:4|C:2,,,F
label_type_conflict,6,PRESCRIPTION NUMBER,,,,,,6,P:5|M:1,,,P
label_type_conflict,6,PERSON,,,,,,6,P:5|V:1,,,P
label_type_conflict,6,INTERVENTION,,,,,,6,P:5|S:1,,,P
label_type_conflict,6,PURCHASE ORDER NUMBER,,,,,,6,P:2|F:4,,,F
label_type_conflict,6,ACTIVITY,,,,,,6,D:3|S:1|F:1|N:1,,,D
label_type_conflict,6,HL7 CODE,,,,,,6,F:5|S:1,,,F
label_type_conflict,6,PROGRAM,,,,,,6,F:3|S:2|P:1,,,F
label_type_conflict,6,LRDFN,,,,,,6,F:1|N:4|P:1,,,N
label_type_conflict,6,LAB TEST,,,,,,6,P:5|M:1,,,P
label_type_conflict,6,DATE ORDERED,,,,,,6,D:5|F:1,,,D
label_type_conflict,6,RESULTS,,,,,,6,M:1|6:1|P:1|S:3,,,S
label_type_conflict,6,AREA,,,,,,6,F:1|P:5,,,P
label_type_conflict,6,IMAGING LOCATION,,,,,,6,P:4|C:1|F:1,,,P
label_type_conflict,6,MODIFIER,,,,,,6,F:2|A:1|S:2|P:1,,,F
label_type_conflict,6,ADMISSION,,,,,,6,P:5|D:1,,,P
label_type_conflict,6,TYPE OF EVENT,,,,,,6,S:5|P:1,,,S
label_type_conflict,6,ITEMS,,,,,,6,A:2|P:2|V:1|M:1,,,A
label_type_conflict,6,PARAMETERS,,,,,,6,M:4|F:1|A:1,,,M
label_type_conflict,6,ORIENTATION,,,,,,6,F:1|S:5,,,S
label_type_conflict,6,SIZE,,,,,,6,F:4|S:1|P:1,,,F
label_type_conflict,6,SURGICAL SPECIALTY,,,,,,6,P:5|F:1,,,P
label_type_conflict,6,REASON CODE,,,,,,6,P:1|F:2|N:1|S:2,,,F
label_type_conflict,6,CANCELLATION REASON,,,,,,6,F:1|P:4|S:1,,,P
label_type_conflict,6,NOTE,,,,,,6,M:4|P:1|F:1,,,M
label_type_conflict,6,DEBTOR,,,,,,6,V:1|P:4|F:1,,,P
label_type_conflict,6,AUDIT,,,,,,6,D:4|P:2,,,D
label_type_conflict,6,TRANSACTION,,,,,,6,A:2|D:1|P:2|F:1,,,A
label_type_conflict,6,CHECKSUM,,,,,,6,N:4|F:2,,,N
label_type_conflict,6,BATCH TYPE,,,,,,6,S:2|P:4,,,P
label_type_conflict,6,EVENT DATE,,,,,,6,D:5|F:1,,,D
label_type_conflict,6,KEY,,,,,,6,F:3|P:2|M:1,,,F
label_type_conflict,6,CLAIM,,,,,,6,P:5|D:1,,,P
label_type_conflict,6,PLAN,,,,,,6,P:2|M:4,,,M
label_type_conflict,6,TRACKING ID,,,,,,6,P:2|F:4,,,F
label_type_conflict,6,FORM,,,,,,6,P:5|F:1,,,P
label_type_conflict,6,DATA ELEMENT,,,,,,6,P:4|M:1|7:1,,,P
label_type_conflict,6,COUNTY CODE,,,,,,6,F:4|N:2,,,F
label_type_conflict,6,REQUEST DATE,,,,,,6,M:1|D:5,,,D
label_type_conflict,6,SYSTEM IDENTIFIER,,,,,,6,S:3|F:3,,,S
label_type_conflict,6,PAY PERIOD,,,,,,6,F:4|P:1|M:1,,,F
label_type_conflict,6,CPT,,,,,,6,P:5|A:1,,,P
label_type_conflict,6,PLACEHOLD MEANS TEST,,,,,,6,S:4|F:2,,,S
label_type_conflict,6,EXPRESSION,,,,,,6,P:4|N:1|F:1,,,P
label_type_conflict,6,STUDY UID,,,,,,6,F:5|M:1,,,F
label_type_conflict,6,MACHINE ID,,,,,,6,F:5|N:1,,,F
label_type_conflict,5,FIELD NAME,,,,,,5,C:1|A:1|F:3,,,F
label_type_conflict,5,COUNTRY,,,,,,5,P:4|M:1,,,P
label_type_conflict,5,ROOM-BED,,,,,,5,F:3|P:2,,,F
label_type_conflict,5,EMPLOYMENT STATUS,,,,,,5,S:4|C:1,,,S
label_type_conflict,5,ALIAS,,,,,,5,M:2|C:1|F:2,,,M
label_type_conflict,5,FACILITY TYPE,,,,,,5,P:3|S:1|F:1,,,P
label_type_conflict,5,AGENCY CODE,,,,,,5,S:3|F:2,,,S
label_type_conflict,5,ASSIGNING AUTHORITY,,,,,,5,F:3|S:2,,,F
label_type_conflict,5,MESSAGES,,,,,,5,N:1|M:1|D:1|P:2,,,P
label_type_conflict,5,DIRECTION,,,,,,5,S:4|F:1,,,S
label_type_conflict,5,STATUS CODE,,,,,,5,F:4|S:1,,,F
label_type_conflict,5,BOX-VOLUME PAIR,,,,,,5,F:2|P:3,,,P
label_type_conflict,5,TO,,,,,,5,F:4|P:1,,,F
label_type_conflict,5,OPTION,,,,,,5,P:1|F:4,,,F
label_type_conflict,5,HELP TEXT,,,,,,5,M:3|F:2,,,M
label_type_conflict,5,LINE NUMBER,,,,,,5,M:1|N:2|F:2,,,N
label_type_conflict,5,CENSUS DATE,,,,,,5,D:3|P:2,,,D
label_type_conflict,5,ADMITTING DIAGNOSIS,,,,,,5,F:3|P:2,,,F
label_type_conflict,5,SURGERY,,,,,,5,S:3|P:1|M:1,,,S
label_type_conflict,5,SPECIAL INSTRUCTIONS,,,,,,5,A:1|F:1|M:3,,,M
label_type_conflict,5,DRG,,,,,,5,C:1|P:4,,,P
label_type_conflict,5,DISCHARGE STATUS,,,,,,5,S:4|P:1,,,S
label_type_conflict,5,UNIT,,,,,,5,P:1|F:3|N:1,,,F
label_type_conflict,5,NARRATIVE,,,,,,5,M:1|F:4,,,F
label_type_conflict,5,TYPE OF REQUEST,,,,,,5,F:2|S:2|P:1,,,F
label_type_conflict,5,COMPLETION STATUS,,,,,,5,P:1|F:2|S:2,,,F
label_type_conflict,5,ACCESSION AREA,,,,,,5,P:4|F:1,,,P
label_type_conflict,5,TIME ASPECT,,,,,,5,P:4|F:1,,,P
label_type_conflict,5,WKLD CODE,,,,,,5,P:3|F:2,,,P
label_type_conflict,5,EVENT CODE,,,,,,5,P:2|F:2|S:1,,,P
label_type_conflict,5,DFN,,,,,,5,N:2|P:3,,,P
label_type_conflict,5,ATTRIBUTE,,,,,,5,F:1|A:2|P:2,,,A
label_type_conflict,5,STREET ADDRESS 3,,,,,,5,F:3|C:2,,,F
label_type_conflict,5,REPORT STATUS,,,,,,5,S:4|F:1,,,S
label_type_conflict,5,REQUESTING PHYSICIAN,,,,,,5,C:1|P:2|F:2,,,P
label_type_conflict,5,FINDINGS,,,,,,5,F:2|P:1|V:2,,,F
label_type_conflict,5,INDICATION,,,,,,5,F:2|P:2|M:1,,,F
label_type_conflict,5,STOP CODE,,,,,,5,P:2|N:1|F:2,,,P
label_type_conflict,5,ACTION TYPE,,,,,,5,F:1|P:2|S:2,,,P
label_type_conflict,5,TERM,,,,,,5,F:3|P:1|S:1,,,F
label_type_conflict,5,LOT NUMBER,,,,,,5,F:3|P:2,,,F
label_type_conflict,5,PROVIDER TYPE,,,,,,5,S:3|F:2,,,S
label_type_conflict,5,TOTAL AMOUNT PAID,,,,,,5,N:4|C:1,,,N
label_type_conflict,5,PROMPT PAY TYPE,,,,,,5,S:4|F:1,,,S
label_type_conflict,5,INVOICE NUMBER,,,,,,5,F:3|N:1|P:1,,,F
label_type_conflict,5,OTHER,,,,,,5,M:1|F:3|S:1,,,F
label_type_conflict,5,DELETE REASON,,,,,,5,F:3|P:1|S:1,,,F
label_type_conflict,5,PAYER NAME,,,,,,5,F:4|P:1,,,F
label_type_conflict,5,SEQUENCE #,,,,,,5,A:1|N:4,,,N
label_type_conflict,5,REMOTE DOMAIN,,,,,,5,P:3|F:2,,,P
label_type_conflict,5,TRANSACTION STATUS,,,,,,5,S:4|F:1,,,S
label_type_conflict,5,APPOINTMENT TYPE,,,,,,5,P:4|S:1,,,P
label_type_conflict,5,PLAN ID,,,,,,5,P:2|F:2|C:1,,,P
label_type_conflict,5,REVENUE CODE,,,,,,5,P:4|F:1,,,P
label_type_conflict,5,POLICY NUMBER,,,,,,5,F:1|N:4,,,N
label_type_conflict,5,TEAM POSITION,,,,,,5,P:4|F:1,,,P
label_type_conflict,5,BUDGET OBJECT CODE,,,,,,5,F:3|N:1|P:1,,,F
label_type_conflict,5,FCP,,,,,,5,F:4|A:1,,,F
label_type_conflict,5,STATE CODE,,,,,,5,P:2|F:3,,,F
label_type_conflict,5,WORK ORDER NUMBER,,,,,,5,P:2|F:3,,,F
label_type_conflict,5,VIEW_ID,,,,,,5,F:1|P:4,,,P
label_type_conflict,5,ENCOUNTER SWAC,,,,,,5,F:1|S:4,,,S
label_type_conflict,5,ENC HEAD/NECK CA,,,,,,5,F:1|S:4,,,S
label_type_conflict,5,RADIATION ENCOUNTER INDICATOR,,,,,,5,F:1|S:4,,,S
label_type_conflict,5,QUEUE,,,,,,5,F:2|N:2|P:1,,,F
label_type_conflict,5,STUDY DATE,,,,,,5,D:2|F:3,,,F
label_type_conflict,5,PROVIDER NARRATIVE,,,,,,5,F:1|P:4,,,P
date_as_free_text,5,,3.075,ERROR LOG,0.01,$H DATE,KERNEL,,,,,
date_as_free_text,5,,3.084,FAILED SIGNON ATTEMPTS,3.0,HOROLOG OF LAST UPDATE,(unpackaged),,,,,
date_as_free_text,5,,4.001,MASTER FILE PARAMETERS,0.04,PRE-UPDATE ROUTINE,(unpackaged),,,,,
date_as_free_text,5,,4.001,MASTER FILE PARAMETERS,0.05,POST-UPDATE ROUTINE,(unpackaged),,,,,
date_as_free_text,5,,4.001,MASTER FILE PARAMETERS,4.16,MFE PRE-UPDATE ROUTINE,(unpackaged),,,,,
date_as_free_text,5,,4.001,MASTER FILE PARAMETERS,4.17,MFE POST-UPDATE ROUTINE,(unpackaged),,,,,
date_as_free_text,5,,6.666,KERNEL PKI LOGS,0.01,DATE/TIME CREATED,(unpackaged),,,,,
date_as_free_text,5,,14.4,TASKS,16.0,Original Create date ($H),(unpackaged),,,,,
date_as_free_text,5,,14.4,TASKS,52.0,Last Update $H,(unpackaged),,,,,
date_as_free_text,5,,15.1,DUPLICATE RESOLUTION,0.09,CANDIDATE COLLECTION ROUTINE,KERNEL,,,,,
date_as_free_text,5,,52.0,PRESCRIPTION,120.02,DATE OF DEATH HISTORY,PHARMACY,,,,,
date_as_free_text,5,,62.49,LA7 MESSAGE QUEUE,106.0,DATE/TIME OF MESSAGE,LAB MESSAGING,,,,,
date_as_free_text,5,,62.49,LA7 MESSAGE QUEUE,156.0,INVERSE DATE,LAB MESSAGING,,,,,
date_as_free_text,5,,69.9,LABORATORY SITE,520.0,DATE ROLLOVER LAST RUN,AUTOMATED LAB INSTRUMENTS,,,,,
date_as_free_text,5,,101.44,ORDER QUICK VIEW,6.0,LAST UPDATE,(unpackaged),,,,,
date_as_free_text,5,,103.0,ORAM FLOWSHEET,4.0,START DATE,(unpackaged),,,,,
date_as_free_text,5,,103.0,ORAM FLOWSHEET,5.0,STOP DATE,(unpackaged),,,,,
date_as_free_text,5,,123.0,REQUEST/CONSULTATION,512.0,PERFORMED DATE/TIME,SUPPLY,,,,,
date_as_free_text,5,,130.0,SURGERY,342.0,DATE OF DEATH,SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,364.1,"ESTIMATE OF MORTALITY, DATE",SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,418.0,HOSPITAL ADMISSION DATE,SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,419.0,HOSPITAL DISCHARGE DATE,SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,420.0,ADMISSION/TRANSFER DATE,SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,421.0,DISCHARGE/TRANSFER DATE,SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,452.0,OBSERVATION ADMISSION DATE,SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,453.0,OBSERVATION DISCHARGE DATE,SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,457.1,"HDL, DATE",SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,458.1,"SERUM TRIGLYCERIDE, DATE (CAR)",SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,459.1,"SERUM POTASSIUM, DATE(CARDIAC)",SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,460.1,"SERUM BILIRUBIN, DATE (CARD)",SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,461.1,"LDL, DATE (CARDIAC)",SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,462.1,"TOTAL CHOLESTEROL, DATE",SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,504.1,"HEMOGLOBIN A1C, DATE",SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,507.1,BNP DATE,SURGERY,,,,,
date_as_free_text,5,,130.0,SURGERY,513.0,SURGERY CONSULT DATE,SURGERY,,,,,
date_as_free_text,5,,139.5,SURGERY TRANSPLANT ASSESSMENTS,133.0,GRAFT FAILURE DATE,(unpackaged),,,,,
date_as_free_text,5,,139.5,SURGERY TRANSPLANT ASSESSMENTS,170.0,DATE OF DEATH,(unpackaged),,,,,
date_as_free_text,5,,139.5,SURGERY TRANSPLANT ASSESSMENTS,187.0,DATE STARTED DIALYSIS,(unpackaged),,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,96.0,PSA DATE,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,156.0,DRE DATE,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,171.0,DATE OF FIRST SYMPTOMS,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,172.0,DATE START OF WORKUP ORDERED,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,173.0,DATE WORKUP STARTED,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,174.1,DATE OF BLOOD IN SPUTUM PER PT,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,175.1,DATE OF CHEST X-RAY,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,176.1,DATE OF CT SCAN,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,177.1,DATE OF BRONCHOSCOPY,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,178.1,DATE OF MEDIASTINOSCOPY,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,179.1,DATE OF PET SCAN,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,180.1,DATE OF CHANGE IN BOWEL HABITS,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,181.1,DATE OF FOBT,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,182.1,DATE OF BARIUM ENEMA,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,183.1,DATE OF SIGMOIDOSCOPY,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,184.1,DATE OF CT OF ABDOMEN/PELVIS,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,185.1,DATE OF COLONOSCOPY,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,186.1,DATE OF DYSPNEA,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,187.1,DATE OF INCREASED COUGH,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,188.1,DATE OF FEVER,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,189.1,DATE OF NIGHT SWEATS,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,193.0,DATE OF CONCLUSIVE DX,ONCOLOGY,,,,,
date_as_free_text,5,,165.5,ONCOLOGY PRIMARY,195.0,DATE OF MULTIPLE TUMORS,ONCOLOGY,,,,,
date_as_free_text,5,,200.0,NEW PERSON,11.2,DATE VERIFY CODE LAST CHANGED,SOCIAL WORK,,,,,
date_as_free_text,5,,200.0,NEW PERSON,20.1,DATE E-SIG LAST CHANGED,SOCIAL WORK,,,,,
date_as_free_text,5,,213.4,NURS AMIS 1106 MANHOURS,0.01,DATE/SHIFT/WARD,NURSING ADMINISTRATION,,,,,
date_as_free_text,5,,213.9,NURS PARAMETERS,10.4,DEFAULT EVALUATION DATE,NURSING SERVICE,,,,,
date_as_free_text,5,,213.9,NURS PARAMETERS,10.5,DEFAULT TARGET DATE,NURSING SERVICE,,,,,
date_as_free_text,5,,231.9,TRACKING AREA,6.0,WAITING TEXT UPDATES,(unpackaged),,,,,
date_as_free_text,5,,231.9,TRACKING AREA,230.1,TRACKING UPDATED,(unpackaged),,,,,
date_as_free_text,5,,231.9,TRACKING AREA,231.1,CHOICES UPDATED,(unpackaged),,,,,
date_as_free_text,5,,344.5,AR EDI LOCKBOX MESSAGES,0.05,UPDATE TASK,(unpackaged),,,,,
date_as_free_text,5,,349.0,AR TRANSMISSION RECORDS,0.09,STATEMENT DATE,(unpackaged),,,,,
date_as_free_text,5,,349.0,AR TRANSMISSION RECORDS,0.1,PROCESS DATE,(unpackaged),,,,,
date_as_free_text,5,,351.0,MEANS TEST BILLING CLOCK,15.0,UPDATE REASON,INTEGRATED BILLING,,,,,
date_as_free_text,5,,351.9,CLAIMSMANAGER BILLS,3.07,ENTRY DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,356.22,HCS REVIEW TRANSMISSION,0.07,EVENT DATE,(unpackaged),,,,,
date_as_free_text,5,,365.0,IIV RESPONSE,12.07,DATE TIME PERIOD,(unpackaged),,,,,
date_as_free_text,5,,368.0,HEALTH CARE CLAIM RFAI (277),0.02,REQUEST DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,368.0,HEALTH CARE CLAIM RFAI (277),0.03,TRANSACTION DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,368.0,HEALTH CARE CLAIM RFAI (277),12.01,RESPONSE DUE DATE,(unpackaged),,,,,
date_as_free_text,5,,368.0,HEALTH CARE CLAIM RFAI (277),14.03,CLAIM SERVICE START DATE,(unpackaged),,,,,
date_as_free_text,5,,368.0,HEALTH CARE CLAIM RFAI (277),14.04,CLAIM SERVICE END DATE,(unpackaged),,,,,
date_as_free_text,5,,396.0,FORM 7131,18.0,OPT TREATMENT RPT (DATE RANGE),AUTOMATED MED INFO EXCHANGE,,,,,
date_as_free_text,5,,396.9,FORM 28-8861,10.0,PREFERRED SCHED DATE REASON,(unpackaged),,,,,
date_as_free_text,5,,423.0,CALM/LOG CODE SHEET,4.0,TRANSACTION DATE,IFCAP,,,,,
date_as_free_text,5,,423.0,CALM/LOG CODE SHEET,9.0,DATE,IFCAP,,,,,
date_as_free_text,5,,423.0,CALM/LOG CODE SHEET,62.0,DELIVERY DATE - 920,IFCAP,,,,,
date_as_free_text,5,,440.5,PURCHASE CARD INFORMATION,54.0,E VALID DATE,(unpackaged),,,,,
date_as_free_text,5,,440.5,PURCHASE CARD INFORMATION,59.0,E EXPIRATION DATE,(unpackaged),,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,30.0,PRINT DATE 1,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,31.0,PRINT DATE 2,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,32.0,PRINT DATE 3,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,33.0,PRINT DATE 4,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,34.0,PRINT DATE 5,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,35.0,PRINT DATE 6,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,36.0,PRINT DATE 7,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,37.0,PRINT DATE 8,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,38.0,PRINT DATE 9,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,39.0,PRINT DATE 10,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,40.0,PRINT DATE 11,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,41.0,PRINT DATE 12,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,42.0,PRINT DATE 13,PAID,,,,,
date_as_free_text,5,,458.0,TIME & ATTENDANCE RECORDS,43.0,PRINT DATE 14,PAID,,,,,
date_as_free_text,5,,550.1,CMOP RX QUEUE,2.0,QUEUED DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,550.1,CMOP RX QUEUE,5.0,TRANSMITTED DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,550.1,CMOP RX QUEUE,6.0,RECEIVED DATE/TIME,(unpackaged),,,,,
date_as_free_text,5,,604.0,ADDICTION SEVERITY INDEX,0.033,RESOLVED ADM DATE,(unpackaged),,,,,
date_as_free_text,5,,605.1,MH DASHBOARD WIDGET,1.0,INACTIVE DATE,(unpackaged),,,,,
date_as_free_text,5,,634.1,HBHC EVALUATION/ADMISSION ERROR(S),2.0,FIELDS TO UPDATE,(unpackaged),,,,,
date_as_free_text,5,,634.2,HBHC VISIT ERROR(S),2.0,FIELDS TO UPDATE,(unpackaged),,,,,
date_as_free_text,5,,634.7,HBHC MEDICAL FOSTER HOME ERROR(S),1.0,FIELDS TO UPDATE,(unpackaged),,,,,
date_as_free_text,5,,661.1,PROSTHETIC HCPCS,1.2,LAST UPDATE,(unpackaged),,,,,
date_as_free_text,5,,691.1,CARDIAC CATHETERIZATION,1513.0,SUPERSEDED DATE,MEDICINE/CARDIOLOGY,,,,,
date_as_free_text,5,,691.5,ELECTROCARDIOGRAM (EKG),1513.0,SUPERSEDED DATE,MEDICINE/CARDIOLOGY,,,,,
date_as_free_text,5,,691.6,HOLTER,1513.0,SUPERSEDED DATE,MEDICINE/CARDIOLOGY,,,,,
date_as_free_text,5,,691.7,EXERCISE TOLERANCE TEST,1513.0,SUPERSEDED DATE,MEDICINE/CARDIOLOGY,,,,,
date_as_free_text,5,,691.8,ELECTROPHYSIOLOGY (EP),1513.0,SUPERSEDED DATE,MEDICINE/CARDIOLOGY,,,,,
date_as_free_text,5,,694.0,HEMATOLOGY,1513.0,SUPERSEDED DATE,MEDICINE,,,,,
date_as_free_text,5,,699.0,ENDOSCOPY/CONSULT,1513.0,SUPERSEDED DATE,MEDICINE,,,,,
date_as_free_text,5,,700.0,PULMONARY FUNCTION TESTS,1513.0,SUPERSEDED DATE,MEDICINE,,,,,
date_as_free_text,5,,727.802,ADMISSION EXTRACT,11.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.802,ADMISSION EXTRACT,70.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.802,ADMISSION EXTRACT,83.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.804,CLINIC NOSHOW EXTRACT,13.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.805,NURSING EXTRACT,16.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.808,PHYSICAL MOVEMENT EXTRACT,10.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.808,PHYSICAL MOVEMENT EXTRACT,11.0,DISCHARGE DATE,(unpackaged),,,,,
date_as_free_text,5,,727.809,UNIT DOSE LOCAL EXTRACT,20.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.809,UNIT DOSE LOCAL EXTRACT,31.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.809,UNIT DOSE LOCAL EXTRACT,57.0,ORDERING DATE,(unpackaged),,,,,
date_as_free_text,5,,727.809,UNIT DOSE LOCAL EXTRACT,72.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.809,UNIT DOSE LOCAL EXTRACT,78.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.81,PRESCRIPTION EXTRACT,23.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.81,PRESCRIPTION EXTRACT,66.0,ORDERING DATE,(unpackaged),,,,,
date_as_free_text,5,,727.81,PRESCRIPTION EXTRACT,78.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.81,PRESCRIPTION EXTRACT,93.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.811,SURGERY EXTRACT,36.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.811,SURGERY EXTRACT,67.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.811,SURGERY EXTRACT,81.0,OEF/OIF RETURN DATE,(unpackaged),,,,,
date_as_free_text,5,,727.811,SURGERY EXTRACT,121.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.812,MENTAL HEALTH EXTRACT,10.0,ADMISSION DATE,(unpackaged),,,,,
date_as_free_text,5,,727.812,MENTAL HEALTH EXTRACT,11.0,DISCHARGE DATE,(unpackaged),,,,,
date_as_free_text,5,,727.812,MENTAL HEALTH EXTRACT,44.0,PATIENT BIRTH DATE,(unpackaged),,,,,
date_as_free_text,5,,727.812,MENTAL HEALTH EXTRACT,56.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.813,LABORATORY EXTRACT,34.0,ORDERING DATE,(unpackaged),,,,,
date_as_free_text,5,,727.814,RADIOLOGY EXTRACT,35.0,ORDERING DATE,(unpackaged),,,,,
date_as_free_text,5,,727.814,RADIOLOGY EXTRACT,53.0,RAD VERIFY DATE,(unpackaged),,,,,
date_as_free_text,5,,727.815,EVENT CAPTURE LOCAL EXTRACT,55.0,DATE OF BIRTH,(unpackaged),,,,,
date_as_free_text,5,,727.815,EVENT CAPTURE LOCAL EXTRACT,65.0,CONTRACT START DATE,(unpackaged),,,,,
date_as_free_text,5,,727.815,EVENT CAPTURE LOCAL EXTRACT,66.0,CONTRACT END DATE,(unpackaged),,,,,
date_as_free_text,5,,727.815,EVENT CAPTURE LOCAL EXTRACT,80.0,CV ELIGIBILITY END DATE,(unpackaged),,,,,
