file_number,label,global_root,candidate_package,candidate_prefix,method,confidence,notes
232.74,EDP COMPONENT VALIDATORS,"^EDPB(232.74,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
233.1,TRACKING CODE,"^EDPB(233.1,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
233.2,TRACKING CODE SET,"^EDPB(233.2,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
233.8,NHAMCS REASON FOR VISIT,"^EDPB(233.8,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
233.81,NHAMCS REASON FOR VISIT DISPLAY,"^EDPB(233.81,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
233.82,ED COMPLAINT,"^EDPB(233.82,",EMERGENCY DEPARTMENT,EDP,prefix,med,ns=EDPB matched prefix=EDP
234.0,CLINICAL EVENTS,"^EDP(234,",EMERGENCY DEPARTMENT,EDP,prefix,high,ns=EDP matched prefix=EDP
301.62,IVM FINANCIAL QUERY LOG,"^IVM(301.62,",INCOME VERIFICATION MATCH,IVM,prefix,high,ns=IVM matched prefix=IVM
301.63,IVM EXTRACT MANAGEMENT,"^IVM(301.63,",INCOME VERIFICATION MATCH,IVM,prefix,high,ns=IVM matched prefix=IVM
301.7,IVM ADDRESS CHANGE LOG,"^IVM(301.7,",INCOME VERIFICATION MATCH,IVM,prefix,high,ns=IVM matched prefix=IVM
301.94,IVM FINANCIAL QUERY CLOSURE REASON,"^IVM(301.94,",INCOME VERIFICATION MATCH,IVM,prefix,high,ns=IVM matched prefix=IVM
340.5,AR REPAYMENT PLAN,"^RCRP(340.5,",,,,,
340.501,AR RPP AUDIT LOG COMMENT,"^RCRP(340.501,",,,,,
340.7,AR METRICS,"^RCSTAT(340.7,",,,,,
342.3,AR USER CUSTOMIZE,"^RC(342.3,",,,,,
344.2,AR PAYMENT TRANSACTIONS,"^RCY(344.2,",,,,,
344.3,EDI LOCKBOX DEPOSIT,"^RCY(344.3,",,,,,
344.31,EDI THIRD PARTY EFT DETAIL,"^RCY(344.31,",,,,,
344.4,ELECTRONIC REMITTANCE ADVICE,"^RCY(344.4,",,,,,
344.49,EDI LOCKBOX EOB WORKLIST,"^RCY(344.49,",,,,,
344.5,AR EDI LOCKBOX MESSAGES,"^RCY(344.5,",,,,,
344.6,RCDPE AUTO-PAY EXCLUSION,"^RCY(344.6,",,,,,
344.61,RCDPE PARAMETER,"^RCY(344.61,",,,,,
344.62,RCDPE CARC-RARC AUTO DEC,"^RCY(344.62,",,,,,
344.7,RCDPE PARAMETER AUDIT,"^RCY(344.7,",,,,,
344.71,RCDPE SUSPENSE AUDIT,"^RCY(344.71,",,,,,
344.72,RCDPE AUTO-POST AUDIT,"^RCY(344.72,",,,,,
344.73,RCDPE COMMENT HISTORY,"^RCY(344.73,",,,,,
344.74,RCDPE FIRST PARTY CHARGE QUEUE,"^RCY(344.74,",,,,,
344.9,RCDPE DM REPORT PARAMETERS,"^RCDM(344.9,",,,,,
344.91,RCDPE DM REPORT ARCHIVE,"^RCDM(344.91,",,,,,
345.0,AR EDI CARC DATA,"^RC(345,",,,,,
345.1,AR PLB ADJUST CODE,"^RC(345.1,",,,,,
346.0,AR EDI RARC DATA,"^RC(346,",,,,,
348.2,TOP REFUND/REVERSAL CODES,"^RC(348.2,",,,,,
348.4,AR DATA QUEUE,^RCXV(,,,,,
348.5,TCS IAI ERROR CODES,"^RC(348.5,",,,,,
348.6,TCS IAI ACTION CODES,"^RC(348.6,",,,,,
348.7,TCS IAI RECORD TYPES,"^RC(348.7,",,,,,
349.0,AR TRANSMISSION RECORDS,"^RCT(349,",,,,,
349.1,AR TRANSMISSION TYPE,"^RCT(349.1,",,,,,
349.2,AR CCPC STATEMENTS,"^RCPS(349.2,",,,,,
349.3,AR RC TRANSMISSIONS,"^RCT(349.3,",,,,,
349.4,AR RC TRANSACTION CODES,"^RCT(349.4,",,,,,
349.7,CCPC STATEMENT ERRORS,"^RCPSE(349.7,",,,,,
349.8,CCPC ERROR TYPE,"^RCPSS(349.8,",,,,,
349.9,AR TRANSMISSION SEGMENTS,"^RCT(349.9,",,,,,
351.3,MEANS TEST BILLING CLOCK VERIFY,"^IBE(351.3,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
351.5,TRICARE PHARMACY TRANSACTIONS,"^IBA(351.5,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
351.51,TRICARE PHARMACY ERRORS,"^IBE(351.51,",INTEGRATED BILLING,IB,prefix,med,ns=IBE matched prefix=IB
351.52,TRICARE PHARMACY REJECTS,"^IBA(351.52,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
351.53,PRODUCT SELECTION REASON,"^IBA(351.53,",INTEGRATED BILLING,IB,prefix,med,ns=IBA matched prefix=IB
351.6,TRANSFER PRICING PATIENT,"^IBAT(351.6,",INTEGRATED BILLING,IB,prefix,med,ns=IBAT matched prefix=IB
351.61,TRANSFER PRICING TRANSACTIONS,"^IBAT(351.61,",INTEGRATED BILLING,IB,prefix,med,ns=IBAT matched prefix=IB
