file_number,label,global_root,field_count,package_name,package_prefix
789.5,EEO SERVER PARAMETERS,"^EEO(789.5,",3,EEO COMPLAINT TRACKING,EEO
790.0,WV PATIENT,"^WV(790,",27,,
790.01,WV CASE MANAGER,"^WV(790.01,",2,,
790.011,WV MATERNITY CARE COORDINATOR,"^WV(790.011,",2,,
790.02,WV SITE PARAMETER,"^WV(790.02,",88,,
790.03,WV PAP REGIMEN,"^WV(790.03,",2,,
790.04,WV PAP REGIMEN LOG,"^WV(790.04,",3,,
790.07,WV REFERRAL SOURCE,"^WV(790.07,",3,,
790.08,WV LAB TESTS,"^WV(790.08,",12,,
790.1,WV PROCEDURE,"^WV(790.1,",44,,
790.2,WV PROCEDURE TYPE,"^WV(790.2,",14,,
790.3,WV REFUSALS,"^WV(790.3,",5,,
790.31,WV RESULTS/DIAGNOSIS,"^WV(790.31,",25,,
790.32,WV DIAGNOSTIC CODE TRANSLATION,"^WV(790.32,",2,,
790.4,WV NOTIFICATION,"^WV(790.4,",15,,
790.403,WV NOTIFICATION TYPE,"^WV(790.403,",3,,
790.404,WV NOTIFICATION PURPOSE,"^WV(790.404,",11,,
790.405,WV NOTIFICATION OUTCOME,"^WV(790.405,",2,,
790.5,WV CERVICAL TX NEED,"^WV(790.5,",1,,
790.51,WV BREAST TX NEED,"^WV(790.51,",1,,
790.6,WV LETTER,"^WV(790.6,",2,,
790.71,WV SNAPSHOT REPORTS,"^WV(790.71,",48,,
790.72,WV AGE RANGE DEFAULT,"^WV(790.72,",3,,
790.8,WV DATA NEEDING REVIEW,"^WV(790.8,",5,,
790.9,WV PREGNANCY/LACTATION STATUS CONFLICT EVENTS,"^WV(790.9,",7,,
791.0,WV CONTRACEPTIVE METHODS,"^WV(791,",3,,
798.0,ROR REGISTRY RECORD,"^RORDATA(798,",22,,
798.1,ROR REGISTRY PARAMETERS,"^ROR(798.1,",36,,
798.2,ROR SELECTION RULE,"^ROR(798.2,",8,,
798.3,ROR PATIENT EVENTS,"^RORDATA(798.3,",3,,
798.4,ROR PATIENT,"^RORDATA(798.4,",14,,
798.5,ROR ICD SEARCH,"^ROR(798.5,",4,,
798.6,ROR PHARMACY CODE,"^ROR(798.6,",2,,
798.7,ROR LOG,"^RORDATA(798.7,",11,,
798.8,ROR TASK,"^RORDATA(798.8,",16,,
798.9,ROR LAB SEARCH,"^ROR(798.9,",4,,
799.1,ROR LIST ITEM,"^ROR(799.1,",5,,
799.2,ROR METADATA,"^ROR(799.2,",5,,
799.31,ROR XML ITEM,"^ROR(799.31,",1,,
799.33,ROR DATA AREA,"^ROR(799.33,",2,,
799.34,ROR REPORT PARAMETERS,"^ROR(799.34,",10,,
799.4,ROR HIV RECORD,"^RORDATA(799.4,",102,,
799.49,ROR AIDS INDICATOR DISEASE,"^ROR(799.49,",5,,
799.51,ROR GENERIC DRUG,"^ROR(799.51,",5,,
799.53,ROR LOCAL FIELD,"^ROR(799.53,",4,,
799.6,ROR HISTORICAL DATA EXTRACTION,"^RORDATA(799.6,",14,,
800.0,CLINICAL REMINDER PARAMETERS,"^PXRM(800,",18,,
801.0,REMINDER ORDER CHECK ITEMS GROUP,"^PXD(801,",8,,
801.1,REMINDER ORDER CHECK RULES,"^PXD(801.1,",18,,
801.41,REMINDER DIALOG,"^PXRMD(801.41,",48,,
801.42,REMINDER GUI PROCESS,"^PXRMD(801.42,",5,,
801.43,REMINDER FINDING ITEM PARAMETER,"^PXRMD(801.43,",4,,
801.45,REMINDER FINDING TYPE PARAMETER,"^PXRMD(801.45,",3,,
801.46,REMINDER GENERAL FINDINGS,"^PXRMD(801.46,",11,,
801.47,REMINDER DIALOG FUNCTION FILE,"^PXRMD(801.47,",5,,
801.48,REMINDER DIALOG LINK TYPE,"^PXRMD(801.48,",8,,
801.5,REMINDER DIALOG PATIENT ASSOCIATION,"^PXRMD(801.5,",6,,
801.55,REMINDER GEC DIALOG ASSOCIATION HISTORY,"^PXRMD(801.55,",6,,
801.9,REMINDER RESOLUTION STATUS,"^PXRMD(801.9,",8,,
801.95,HEALTH FACTOR RESOLUTION,"^PXRMD(801.95,",2,,
802.1,NLM VALUE SET CODING SYSTEMS,"^PXRM(802.1,",4,,
802.2,NLM VALUE SETS,"^PXRM(802.2,",6,,
802.3,NLM QUALITY MEASURE GROUPS,"^PXRM(802.3,",16,,
802.4,REMINDER FUNCTION FINDING FUNCTIONS,"^PXRMD(802.4,",11,,
809.0,REMINDERS EPISODE OF CARE,"^PXRM(809,",5,,
810.1,REMINDER REPORT TEMPLATE,"^PXRMPT(810.1,",24,,
810.2,REMINDER EXTRACT DEFINITION,"^PXRM(810.2,",11,,
810.3,REMINDER EXTRACT SUMMARY,"^PXRMXT(810.3,",21,,
810.4,REMINDER LIST RULE,"^PXRM(810.4,",12,,
810.5,REMINDER PATIENT LIST,"^PXRMXP(810.5,",19,,
810.7,REMINDER EXTRACT COUNTING RULE,"^PXRM(810.7,",5,,
810.8,REMINDER COUNTING GROUP,"^PXRM(810.8,",5,,
810.9,REMINDER LOCATION LIST,"^PXRMD(810.9,",8,,
811.1,PCE CODE MAPPING,"^PXD(811.1,",5,,
811.2,REMINDER TAXONOMY,"^PXD(811.2,",21,,
811.4,REMINDER COMPUTED FINDINGS,"^PXRMD(811.4,",11,,
811.5,REMINDER TERM,"^PXRMD(811.5,",8,,
811.6,REMINDER SPONSOR,"^PXRMD(811.6,",6,,
811.7,REMINDER CATEGORY,"^PXRMD(811.7,",4,,
811.8,REMINDER EXCHANGE,"^PXD(811.8,",9,,
811.9,REMINDER DEFINITION,"^PXD(811.9,",68,,
812.0,PCE CUSTOMIZE REPORT,"^PXD(812,",2,,
815.0,PCE PARAMETERS,"^PX(815,",26,,
818.0,COMPACT ACT EPISODE OF CARE,"^PXCOMP(818,",4,,
839.01,PCE DEVICE INTERFACE MODULE ERRORS,"^PX(839.01,",9,,
839.7,PCE DATA SOURCE,"^PX(839.7,",6,,
853.0,VPS CONFIG HISTORY,"^VPS(853,",4,,
853.1,VPS HL7 SITE PARAMETERS,"^VPS(853.1,",4,,
853.3,VPS ALLERGY DISCREPANCY INDICATORS,"^VPS(853.3,",4,,
853.5,VPS MRAR PDO,"^VPS(853.5,",2,,
853.7,VPS MED DISCREPANCY INDICATORS,"^VPS(853.7,",4,,
853.8,VPS CLINICAL SURVEY,"^VPS(853.8,",2,,
853.85,VPS QUESTIONNAIRE IDENTIFIERS,"^VPS(853.85,",4,,
853.875,VPS QUESTIONNAIRE NAME,"^VPS(853.875,",1,,
853.9,VPS APPOINTMENTS QUEUE,"^VPS(853.9,",4,,
860.1,ORDER CHECK PATIENT ACTIVE DATA,"^OCXD(860.1,",4,,
860.2,ORDER CHECK RULE,"^OCXS(860.2,",4,,
860.3,ORDER CHECK ELEMENT,"^OCXS(860.3,",4,,
860.4,ORDER CHECK DATA FIELD,"^OCXS(860.4,",4,,
860.5,ORDER CHECK DATA SOURCE,"^OCXS(860.5,",2,,
860.6,ORDER CHECK DATA CONTEXT,"^OCXS(860.6,",3,,
860.7,ORDER CHECK PATIENT RULE EVENT,"^OCXD(860.7,",2,,
860.8,ORDER CHECK COMPILER FUNCTIONS,"^OCXS(860.8,",4,,
860.9,ORDER CHECK NATIONAL TERM,"^OCXS(860.9,",4,,
861.0,ORDER CHECK RAW DATA LOG,"^OCXD(861,",11,,
863.0,OCX MDD CLASS,"^OCXS(863,",7,,
863.1,OCX MDD APPLICATION,"^OCXS(863.1,",6,,
863.2,OCX MDD SUBJECT,"^OCXS(863.2,",4,,
863.3,OCX MDD LINK,"^OCXS(863.3,",14,,
863.4,OCX MDD ATTRIBUTE,"^OCXS(863.4,",5,,
863.5,OCX MDD VALUES,"^OCXS(863.5,",8,,
863.6,OCX MDD METHOD,"^OCXS(863.6,",8,,
863.7,OCX MDD PUBLIC FUNCTION,"^OCXS(863.7,",7,,
863.8,OCX MDD PARAMETER,"^OCXS(863.8,",7,,
863.9,OCX MDD CONDITION/FUNCTION,"^OCXS(863.9,",7,,
864.0,OCX MDD SITE PREFERENCES,"^OCXS(864,",2,,
864.1,OCX MDD DATATYPE,"^OCXS(864.1,",5,,
869.1,HL LOWER LEVEL PROTOCOL TYPE,"^HLCS(869.1,",5,HEALTH LEVEL SEVEN,HL
869.2,HL LOWER LEVEL PROTOCOL PARAMETER,"^HLCS(869.2,",43,HEALTH LEVEL SEVEN,HL
869.3,HL COMMUNICATION SERVER PARAMETERS,"^HLCS(869.3,",26,HEALTH LEVEL SEVEN,HL
870.0,HL LOGICAL LINK,"^HLCS(870,",54,HEALTH LEVEL SEVEN,HL
910.0,ESP MASTER NAME INDEX,"^ESP(910,",32,POLICE & SECURITY,ES
910.1,ESP ACTIVITY REPORT,"^ESP(910.1,",2,POLICE & SECURITY,ES
910.2,ESP POLICE REGISTRATION LOG,"^ESP(910.2,",46,POLICE & SECURITY,ES
910.7,ESP SELECTABLES,"^ESP(910.7,",13,POLICE & SECURITY,ES
910.8,ESP EVIDENCE,"^ESP(910.8,",8,POLICE & SECURITY,ES
911.0,ESP ACTIVITY CODES,"^ESP(911,",3,POLICE & SECURITY,ES
911.2,ESP DISPOSITION CODES,"^ESP(911.2,",3,POLICE & SECURITY,ES
912.0,ESP OFFENSE REPORT,"^ESP(912,",40,POLICE & SECURITY,ES
912.3,ESP CRIME DATA-BY-FACILITY,"^ESP(912.3,",3,,
912.4,ESP CRIME DATA,"^ESP(912.4,",3,POLICE & SECURITY,ES
912.5,ESP POLICE TRAINING,"^ESP(912.5,",2,POLICE & SECURITY,ES
912.7,ESP CRIME CATEGORIES,"^ESP(912.7,",1,POLICE & SECURITY,ES
912.8,ESP CRIME TYPES,"^ESP(912.8,",2,POLICE & SECURITY,ES
912.9,ESP CRIME SUB-TYPES,"^ESP(912.9,",4,POLICE & SECURITY,ES
913.0,ESP WANTS & WARRANTS,"^ESP(913,",18,POLICE & SECURITY,ES
914.0,ESP VIOLATIONS,"^ESP(914,",23,POLICE & SECURITY,ES
915.0,ESP OFFENSE CODES,"^ESP(915,",6,POLICE & SECURITY,ES
916.0,ESP DAILY JOURNAL,"^ESP(916,",7,POLICE & SECURITY,ES
920.0,VACCINE INFORMATION STATEMENT,^AUTTIVIS(,11,,
920.05,IMM DEFAULT RESPONSES,"^PXV(920.05,",3,,
920.1,IMMUNIZATION INFO SOURCE,"^PXV(920.1,",7,,
920.2,IMM ADMINISTRATION ROUTE,"^PXV(920.2,",8,,
920.3,IMM ADMINISTRATION SITE (BODY),"^PXV(920.3,",6,,
920.4,IMM CONTRAINDICATION REASONS,"^PXV(920.4,",13,,
920.5,IMM REFUSAL REASONS,"^PXV(920.5,",6,,
920.6,IMM ROUTES TO SITES,"^PXV(920.6,",2,,
920.71,IMM EXTERNAL AGENCY,"^PXV(920.71,",1,,
920.75,PX ICE WEB SERVER,"^PXV(920.75,",9,,
920.76,PX ICE SERVER STATUS,"^PXV(920.76,",2,,
920.77,PX ICE MESSAGE,"^PXV(920.77,",8,,
950.0,XML ENTITY CATALOG,"^MXML(950,",2,,
984.1,MASTER PATIENT INDEX (LOCAL NUMBERS),"^MPIF(984.1,",5,,
984.5,MPI CHECKDIGIT,"^MPIF(984.5,",11,,
984.8,MPI ICN BUILD MANAGEMENT,"^MPIF(984.8,",11,,
984.9,MPIF CMOR REQUEST,"^MPIF(984.9,",20,,
987.5,WII ADMISSIONS DISCHARGES,"^WII(987.5,",19,,
987.6,WII PARAMETERS,"^WII(987.6,",2,,
990.8,CIRN REPOSITORY SITE PARAMETER,"^RGSITE(""COR"",",10,,
991.1,CIRN HL7 EXCEPTION LOG,"^RGHL7(991.1,",8,,
991.11,CIRN HL7 EXCEPTION TYPE,"^RGHL7(991.11,",8,,
