package_name,prefix,version,file_count
HINQ MAS 5.3 UPDATE,DVBW,Change to DVBHINQ UPDATE MAS 5.3,0
HINQ template update,DVBY,Will change the DVBHINQ UPDATE template,0
HIV OUTPATIENT SURVEY,HIVO,Package to collect ID of outpatients seen for HIV treatment,0
HIV OUTPATIENT TRACKING,HIVO,Package to collect ID of outpatients seen for HIV treatment,0
HONEYWELL CONVERSION,HN,,0
HOSPITAL BASED HOME CARE,HBH,HBH v1.0 Patch 4 w/Inits,1
IB 2.0 PATCH 27,IBYB,Updates the input template IB SCREEN7 for CHAMPVA billing.,0
IB ENCOUNTER FORM IMP/EXP,IBDE,The import/export utilities for encounter forms.,3
IB JOINT INQUIRY,IBJ,Third Party Inquiry and IB Site Parameters,0
IB PATCH 18,IBY6,"Patch 18, adding duplex printing for encounter forms.",1
IB PATCH 37,IBYG,PATCH 37 FOR IB 2.0,0
IB UNBILLED AMOUNTS PATCH,IBY8,UNBILLED AMOUNTS REPORT PATCH IB*2*19,1
IB V1.5 PATCH 6,IBY2,Package entry for patch IB*1.5*6.,0
IBQY - PATCH IBQ*1*1,IBQY,QM Rollup Patch IBQ*1*1,0
IBY4 RESET BILLABLE EVENTS,IBY4,Contains inits for IB*2*4.,0
IBY5 IVM SUPPORT PATCH,IBY5,Contains Inits for IB*2*6.,0
IBYA - PATCH IB*2*28,IBYA,Insurance Patch IB*2*28,0
IBYC - PATCH IB*2*34,IBYC,Copay Exemption Patch IB*2*34,0
IBYD - PATCH IB*2*44,IBYD,Clerk Productivity Report Patch IB*2*44,0
IBYE PATCH IB*2*40,IBYE,This patch will correct NOIS BUT-0795-20017,0
IBYF - PATCH IB*2*46,IBYF,Insurance Company Deletion Patch IB*2*46,0
IBYN - PATCH IB*2*59,IBYN,"Fix File #356.9, Inpatient Diagnosis",0
ICR - IMMUNOLOGY CASE REGISTRY,IMR,REGISTRY FOR HIV PATIENTS,0
IFCAP,PRC,IFCAP System Files,90
IFCAP ACCOUNTS RECEIVABLE,PRCZ,,0
IMAGE MULTIPLES IN LAB DATA,LR01,Image File Multiples in 63,0
IMAGING,MAG,,0
IMR2,IMR2,MOVE PATCH,0
INCIDENT REPORTING,QAN,This package is designed to track a hospital incident.,0
INCIDENT REPORTING PART TWO,QAN2,This package exports the 'Level Of Review' field.,0
INCIDENT REPORTING SUPPLEMENT,QAN1,This supplement to Incident Reporting package.,0
